role,institution,location,dates,subtitle,details
"Technical Research Staff","Universidad de O’Higgins","Rancagua, Chile","June 2025–present","FONDECYT de Iniciación No. 11240230 | PI: José Mela Contreras | The Role of Cinema as a Device for Promoting Intercultural Experiences and Strengthening Social Inclusion among Migrant and Chilean Students in Public Schools in O’Higgins and Maule","Contributed to methodological decision-making and quality assurance in the qualitative component; documented research decisions; revised the data production matrix; maintained decision logs and methodological memos; developed and adjusted data collection instruments; designed focus group guides; moderated focus groups; conducted qualitative coding and preliminary findings systematization; produced coding memos and updated codebook versions; organized qualitative analysis procedures in Atlas.ti 25; contributed to a transparent and traceable audit trail."
"Research Assistant","FONDECYT Project No. 1220039","Santiago, Chile","2022–2025","PI: Lorena Pérez-Roa | Navigating Uncertainty: Strategies for Mobilizing Financial and Non-Financial Resources in Precarious Households","Coordinated fieldwork; conducted in-depth interviews; carried out qualitative coding and analysis; prepared analytical reports and research inputs for scientific articles."
"Project Coordinator","Enlace 2021 – VID Universidad de Chile","Santiago, Chile","2021–2022","PI: Lorena Pérez-Roa | Economic Adjustment Practices for Managing Economic Uncertainties in Working-Class Households in Santiago de Chile","Applied ethnographic techniques and household interviews; prepared reports and research systematizations; worked with low-income families and community actors in different territories."
