role,institution,location,dates,subtitle,details
"Coordinator","Ketra Collective","Santiago, Chile","2017–2025","Collective work on education in carceral contexts from a gender perspective","Participated in socio-educational work with incarcerated women, including teaching, participatory methodologies, collective self-evaluation, and the systematization of organizational experience. Coordinated community and institutional networks and represented the collective in Premio Azul a la Creatividad Estudiantil, XXIV edition (2022)."
"Intern","Faculty of Social Sciences, Universidad Diego Portales","Santiago, Chile","Second semester 2018","School for Women Leaders in Socio-environmental and Territorial Issues | Supervisors: Evelyn Arriagada and Antonia Zambra","Elective internship in a project focused on socio-environmental and territorial inequalities."
