order,position,institution,location,dates,project,principal_investigator,course_or_unit,lecturer,bullets
1,"Teaching Assistant","Social Work Programme, Universidad de Chile","","First semester 2022","","","Social Question and Inequalities","Lorena Pérez-Roa",""
2,"Teaching Assistant","School of Sociology, Universidad de Chile","","March–July 2018; March–July 2017","","","History of Modern Society","Emmanuelle Barozet and Silvia Lamadrid",""
3,"Teaching Assistant","School of Sociology, Universidad de Chile","","March–July 2017","","","Sociological Theory I","Manuel Canales",""
